0,1,2
254.18383279763782,257.00645208620534,258.75196086695917
254.29475440476114,257.07910599898514,258.73659797034503
254.35138473927137,257.10280380356295,258.6905167594217
254.3960421443192,257.11838422339713,258.6463460464144
254.34788528286472,257.0612573269041,258.5923300261692
254.303128986953,257.0081644091612,258.5421283121652
254.24254006390268,256.9502295150505,258.5029006851738
254.05301950552155,256.8358495551292,258.51796805433247
253.87774294936023,256.73006617394805,258.53190298888046
253.7158596534222,256.6323659293968,258.5447731249826
253.52329276062895,256.54750368758306,258.5912489871634
253.2421769060345,256.481915075607,258.7170391678303
252.98346700389507,256.4215541137172,258.8328034151987
252.74560760855616,256.36605789274364,258.939237740492
252.52712400683674,256.31508233963234,259.03700202978365
252.32660068936963,256.2682971944812,259.1267296773705
252.14269749709612,256.2253897777629,259.2090203607426
